keys,en,pt,it,zh,ko,ja,sh,gm,fr,pl,tu
WOLF,Wolf,Lobo,Lupo,狼,늑대,狼,Lobo,Wolf,Loup,Wilk,Kurt
WOLF_DESCRIPTION,Eats adjacent island {GROUP_SHEEPS} giving 20x it's resource cost as {GOLD}\nIf adjacent to a {GROUP_WITHERED_CROPS} turns into {ANIMAL_ALPHA_WOLF},Come {GROUP_SHEEPS} em ilhas adjacentes dando 20x seu custo de recursos em {GOLD}\nSe adjacente a uma {GROUP_WITHERED_CROPS} se torna {ANIMAL_ALPHA_WOLF},Mangia {GROUP_SHEEPS} dell'isola adiacente dando 20x il suo costo in risorse come {GOLD}\nSe adiacente a un {GROUP_WITHERED_CROPS} si trasforma in {ANIMAL_ALPHA_WOLF},吃掉相邻岛上的{GROUP_SHEEPS}，提供等于其资源成本的20倍的{GOLD}\n如果与{GROUP_WITHERED_CROPS}相邻，变为{ANIMAL_ALPHA_WOLF},인접한 섬의 {GROUP_SHEEPS}를 먹어 자원 비용의 20배를 {GOLD}로 얻습니다\n{GROUP_WITHERED_CROPS}에 인접하면 {ANIMAL_ALPHA_WOLF}로 변합니다,隣接する島を食べる {GROUP_SHEEPS} を消費し、その資源コストの20倍の {GOLD} を与える\n隣接島が {GROUP_WITHERED_CROPS} である場合、{ANIMAL_ALPHA_WOLF} に変わります,Come {GROUP_SHEEPS} en islas adyacentes dando 20x su costo de recurso como {GOLD}\n Si está adyacente a un {GROUP_WITHERED_CROPS} se transforma en {ANIMAL_ALPHA_WOLF},Friss {GROUP_SHEEPS} der benachbarten Insel und erhalte 20x dessen Ressourcenkosten als {GOLD}\nWenn neben einer {GROUP_WITHERED_CROPS} verwandelt sich in {ANIMAL_ALPHA_WOLF},"Mange les {GROUP_SHEEPS} des îles adjacentes, donnant 20x son coût en ressources en {GOLD}\nSi adjacent à un {GROUP_WITHERED_CROPS}, devient {ANIMAL_ALPHA_WOLF}",Zjada {GROUP_SHEEPS} z sąsiadujących wysp dając 20x jego koszt zasobów jako {GOLD}\nJeśli sąsiaduje z {GROUP_WITHERED_CROPS} zmienia się w {ANIMAL_ALPHA_WOLF},Yanındaki adadaki {GROUP_SHEEPS} yi yer ve kaynak maliyetinin 20 katı kadar {GOLD} verir\nEğer {GROUP_WITHERED_CROPS} yanındaysa {ANIMAL_ALPHA_WOLF} olur
ALPHA_WOLF,Alpha Wolf,Lobo Alpha,Lupo Alfa,头狼,알파 늑대,アルファウルフ,Lobo Alfa,Alpha Wolf,Loup Alpha,Alfa Wilk,Alfa Kurt
ALPHA_WOLF_DESCRIPTION,"Can't get {GROUP_SHEEPS}, but gives 10{GOLD} per {GROUP_SHEEPS} in a 3 island range\nEats adjacent island {ITEM_PANETTONE} turning into {ANIMAL_SANTA_CLAWS}","Não faz nada com {GROUP_SHEEPS}, mas dá 10 de {GOLD} para cada {GROUP_SHEEPS} em 3 ilhas de alcance\nCome {ITEM_PANETTONE} de ilhas adjacentes, se tornando o {ANIMAL_SANTA_CLAWS}","Non può ottenere {GROUP_SHEEPS}, ma dà 10{GOLD} per ogni {GROUP_SHEEPS} in un raggio di 3 isole\nMangia {ITEM_PANETTONE} dell'isola adiacente trasformandosi in {ANIMAL_SANTA_CLAWS}",不能得到{GROUP_SHEEPS}，但是每个{GROUP_SHEEPS}提供10{GOLD}，范围是3个岛屿\n吃相邻岛屿的{ITEM_PANETTONE}，变成{ANIMAL_SANTA_CLAWS},{GROUP_SHEEPS}를 얻을 수는 없지만 3개 섬 범위 내의 {GROUP_SHEEPS}마다 10{GOLD}를 제공합니다\n인접한 섬의 {ITEM_PANETTONE}를 먹고 {ANIMAL_SANTA_CLAWS}로 변합니다,{GROUP_SHEEPS}を取得することはできませんが、3島の範囲内の{GROUP_SHEEPS}ごとに10{GOLD}を与えます\n隣接する島の{ITEM_PANETTONE}を食べて{ANIMAL_SANTA_CLAWS}に変わります,"No puede obtener {GROUP_SHEEPS}, pero da 10{GOLD} por cada {GROUP_SHEEPS} en un rango de 3 islas\nCome {ITEM_PANETTONE} de la isla adyacente convirtiéndose en {ANIMAL_SANTA_CLAWS}","Kann keine {GROUP_SHEEPS} bekommen, gibt aber 10{GOLD} pro {GROUP_SHEEPS} in einem Umkreis von 3 Inseln\nIsst {ITEM_PANETTONE} von der angrenzenden Insel und verwandelt sich in {ANIMAL_SANTA_CLAWS}","Ne peut pas obtenir de {GROUP_SHEEPS}, mais donne 10{GOLD} par {GROUP_SHEEPS} dans un rayon de 3 îles\nMange du {ITEM_PANETTONE} de l'île adjacente se transformant en {ANIMAL_SANTA_CLAWS}","Nie może dostać {GROUP_SHEEPS}, ale daje 10{GOLD} za każde {GROUP_SHEEPS} w zasięgu 3 wysp\nJe {ITEM_PANETTONE} z sąsiedniej wyspy, zamieniając się w {ANIMAL_SANTA_CLAWS}","{GROUP_SHEEPS} alamaz, ancak 3 adalık bir menzilde her {GROUP_SHEEPS} için 10{GOLD} verir\nYakın adadaki {ITEM_PANETTONE} yiyerek {ANIMAL_SANTA_CLAWS} haline gelir"
GNOME,Gnome,Gnomo,Gnomo,地精,노움,ノーム,Gnomo,Gnom,Gnome,Gnom,Cüce
GNOME_DESCRIPTION, +5{PRODUCTION} to adjacent island {PLANTS}\n+1{PRODUCTION} to {PLANTS} in a 2 island range for every {ITEM_ELIXIR} produced on the farm,+5 de {PRODUCTION} para {PLANTS} em ilhas adjacentes\n+1 de {PRODUCTION} para {PLANTS} em 2 ilhas de distância para cada {ITEM_ELIXIR} produzido na fazenda,+5{PRODUCTION} per isola adiacente {PLANTS}\n+1{PRODUCTION} per {PLANTS} entro un raggio di 2 isole per ogni {ITEM_ELIXIR} prodotto nella fattoria,相邻岛上的{PLANTS}增加5的产出\n农场上每产出一个{ITEM_ELIXIR}，在2个岛的范围内的{PLANTS}产出增加1,인접한 섬의 {PLANTS}에 +5{PRODUCTION}을 부여합니다\n농장에서 생산된 {ITEM_ELIXIR}당 2개의 섬 범위에서 {PLANTS}에 대해 {ITEM_ELIXIR}당 +1 {PRODUCTION}을 부여합니다,隣接島 {PLANTS} に対して +5{PRODUCTION}\n2つの島の範囲内の {PLANTS} ごとに +1{PRODUCTION}、農場で生産された {ITEM_ELIXIR} ごとに +1{PRODUCTION},+5{PRODUCTION} para {PLANTS} en islas adyacentes\n +1{PRODUCTION} para {PLANTS} en un rango de 2 islas por cada {ITEM_ELIXIR} producido en la granja,+5{PRODUCTION} für {PLANTS} auf benachbarten Inseln\n+1{PRODUCTION} für {PLANTS} in einem Umkreis von 2 Inseln für jeden auf dem Bauernhof hergestellten {ITEM_ELIXIR},+5{PRODUCTION} pour les {PLANTS} des îles adjacentes\n+1{PRODUCTION} pour les {PLANTS} dans un rayon de 2 îles pour chaque {ITEM_ELIXIR} produit sur la ferme,+5{PRODUCTION} dla sąsiadujących wysp {PLANTS}\n+1{PRODUCTION} dla {PLANTS} w zasięgu 2 wysp za każdy wyprodukowany {ITEM_ELIXIR} na farmie,Yanındaki ada için {PLANTS} +5{PRODUCTION}\nÇiftlikte üretilen her {ITEM_ELIXIR} için 2 ada menzilindeki {PLANTS} için +1{PRODUCTION}
PEANUT_GNOME,Peanut Gnome,Gnomendoim,Peanut Gnome,花生地精,땅콩 노움,ピーナツノーム,Gnomo Cacahuate,Peanut Gnom,Gnome de Cacahuète,Orzechowy Gnom,Fıstık Cüce
PEANUT_GNOME_DESCRIPTION,Everything in a 2 island range changes production to {ITEM_PEANUT}\n+1 {PRODUCTION} to {PLANTS} in a 2 island range for every {ITEM_PEANUT_BUTTER} produced on the farm,Tudo em 2 ilhas de distância passa a produzir {ITEM_PEANUT}\n+1 de {PRODUCTION} para {PLANTS} em 2 ilhas de distância por cada {ITEM_PEANUT_BUTTER} produzido na fazenda,Tutto entro un raggio di 2 isole cambia produzione in {ITEM_PEANUT}\n+1 {PRODUCTION} a {PLANTS} entro un raggio di 2 isole per ogni {ITEM_PEANUT_BUTTER} prodotto nella fattoria,在2个岛的范围内，所有的产出变为{ITEM_PEANUT}\n农场上每产出一个{ITEM_PEANUT_BUTTER}，在2个岛的范围内的{PLANTS}产出增加1,2개의 섬 범위에서 모든 것이 {ITEM_PEANUT}로 생산을 변경합니다\n농장에서 생산된 {ITEM_PEANUT_BUTTER}당 2개의 섬 범위에서 {PLANTS}에 대해 {ITEM_PEANUT_BUTTER}당 +1 {PRODUCTION}을 부여합니다,2つの島の範囲内のすべてのものが {ITEM_PEANUT} に生産変更されます\n農場で生産された {ITEM_PEANUT_BUTTER} ごとに +1{PRODUCTION}、2つの島の範囲内の {PLANTS} に対して +1{PRODUCTION},Todo en un rango de 2 islas cambia su producción a {ITEM_PEANUT}\n +1 {PRODUCTION} para {PLANTS} en un rango de 2 islas por cada {ITEM_PEANUT_BUTTER} producido en la granja,Alles in einem Umkreis von 2 Inseln ändert die Produktion zu {ITEM_PEANUT}\n+1 {PRODUCTION} für {PLANTS} in einem Umkreis von 2 Inseln für jeden auf dem Bauernhof hergestellten {ITEM_PEANUT_BUTTER},Tout dans un rayon de 2 îles produit désormais des {ITEM_PEANUT}\n+1 {PRODUCTION} pour les {PLANTS} dans un rayon de 2 îles pour chaque {ITEM_PEANUT_BUTTER} produit sur la ferme,Wszystko w zasięgu 2 wysp zmienia produkcję na {ITEM_PEANUT}\n+1 {PRODUCTION} dla {PLANTS} w zasięgu 2 wysp za każdy wyprodukowany {ITEM_PEANUT_BUTTER} na farmie,2 ada menzilindeki her şeyin üretimi {ITEM_PEANUT} olur\nÇiftlikte üretilen her {ITEM_PEANUT_BUTTER} için 2 ada menzilindeki {PLANTS} için +1 {PRODUCTION}
BLACK_SHEEP,Black Sheep,Ovelha Negra,Black Sheep,黑羊,검은 양,ブラックシープ,Oveja Negra,Schwarzes Schaf,Mouton Noir,Czarna Owca,Kara Koyun
BLACK_SHEEP_DESCRIPTION,"+30 {PRODUCTION} if no other {GROUP_SHEEPS} on same island\nTries to destroy adjacent island {GROUP_WHEATS}, +5 {PRODUCTION} per try","+30 de {PRODUCTION} se não tiver outra {GROUP_SHEEPS} na mesma ilha\nTenta destruir 1 {GROUP_WHEATS} em ilhas adjacentes todo turno, +5 de {PRODUCTION} por tentativa","+30 di {PRODUCTION} se non ci sono altre {GROUP_SHEEPS} sulla stessa isola\nTenta di distruggere l'{GROUP_WHEATS} sull'isola adiacente, +5 di {PRODUCTION} per tentativo",在同一岛上如果没有其他{GROUP_SHEEPS}则+30 {PRODUCTION}\n试图摧毁相邻的{GROUP_WHEATS}，每次尝试+5 {PRODUCTION},"+30 {PRODUCTION} 만약 같은 섬에 다른 {GROUP_SHEEPS}이 없다면\n인접한 섬의 {GROUP_WHEATS}을 파괴하려고 시도, 시도당 +5 {PRODUCTION}","+30 {PRODUCTION} 만약 같은 섬에 다른 {GROUP_SHEEPS}이 없다면\n인접한 섬의 {GROUP_WHEATS}을 파괴하려고 시도, 시도당 +5 {PRODUCTION}","+30 {PRODUCTION} if no other {GROUP_SHEEPS} on same island\nTries to destroy adjacent island {GROUP_WHEATS}, +5 {PRODUCTION} per try","+30 {PRODUCTION} wenn keine anderen {GROUP_SHEEPS} auf derselben Insel sind\nVersucht, die benachbarte Insel {GROUP_WHEATS} zu zerstören, +5 {PRODUCTION} pro Versuch","+30 {PRODUCTION} si aucune autre {GROUP_SHEEPS} sur la même île\nTente de détruire l'île adjacente {GROUP_WHEATS}, +5 {PRODUCTION} par tentative","+30 {PRODUCTION} jeśli nie ma innych {GROUP_SHEEPS} na tej samej wyspie\nPróbuje zniszczyć sąsiednią wyspę {GROUP_WHEATS}, +5 {PRODUCTION} za każdą próbę","+30 {PRODUCTION} eğer aynı adadaki başka {GROUP_SHEEPS} yoksa\nBitişik adadaki {GROUP_WHEATS} grubunu yok etmeye çalışır, her denemede +5 {PRODUCTION}"
CROSS,Cross,Cruz,Cross,十字架,십자가,クロス,Cruz,Kreuz,Croix,Krzyż,Haç
CROSS_DESCRIPTION,All {GROUP_WOLVES} turn into {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} get 30{GOLD} per {GROUP_SHEEPS} in a 4 island range\n2x {PRODUCTION} to {GROUP_WHEATS} and {PLANT_GRAPES},Todos {GROUP_WOLVES} se tornam {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} ganham 30{GOLD} por {GROUP_SHEEPS} em 4 ilhas de distância\n2x de {PRODUCTION} para {GROUP_WHEATS} e {PLANT_GRAPES},Tutti gli {GROUP_WOLVES} diventano {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} ricevono 30{GOLD} per ogni {GROUP_SHEEPS} in un raggio di 4 isole\n2x {PRODUCTION} per {GROUP_WHEATS} e {PLANT_GRAPES},所有的{GROUP_WOLVES}变为{ANIMAL_PASTOR}\n在4个岛的范围内，{ANIMAL_PASTOR}每个{GROUP_SHEEPS}提供30{GOLD}\n{GROUP_WHEATS}和{PLANT_GRAPES}的产出量增加2倍,모든 {GROUP_WOLVES}은 {ANIMAL_PASTOR}로 변합니다\n{ANIMAL_PASTOR}은 4개의 섬 범위에서 {GROUP_SHEEPS} 당 30{GOLD}를 얻습니다\n{GROUP_WHEATS} 및 {PLANT_GRAPES}의 {PRODUCTION}이 2배로 증가합니다,すべての {GROUP_WOLVES} が {ANIMAL_PASTOR} に変わります\n{ANIMAL_PASTOR} は4つの島の範囲内の各 {GROUP_SHEEPS} ごとに30{GOLD} を受け取ります\n{GROUP_WHEATS} と {PLANT_GRAPES} に対して2倍の {PRODUCTION},Todos los {GROUP_WOLVES} se transforman en {ANIMAL_PASTOR}\n {ANIMAL_PASTOR} recibe 30{GOLD} por cada {GROUP_SHEEPS} en un rango de 4 islas\n 2x {PRODUCTION} para {GROUP_WHEATS} y {PLANT_GRAPES},Alle {GROUP_WOLVES} werden zu {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} erhalten 30{GOLD} für jedes {GROUP_SHEEPS} in einem Umkreis von 4 Inseln\n2x {PRODUCTION} für {GROUP_WHEATS} und {PLANT_GRAPES},Tous les {ANIMAL_WOLF} deviennent des {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} reçoit 30{GOLD} pour chaque {GROUP_SHEEPS} dans un rayon de 4 îles\n2x {PRODUCTION} pour {GROUP_WHEATS} et {PLANT_GRAPES},Wszystkie {GROUP_WOLVES} zamieniają się w {ANIMAL_PASTOR}\n{ANIMAL_PASTOR} dostaje 30{GOLD} za każde {GROUP_SHEEPS} w zasięgu 4 wysp\n2x {PRODUCTION} dla {GROUP_WHEATS} i {PLANT_GRAPES},Tüm {GROUP_WOLVES} {ANIMAL_PASTOR} olur\n{ANIMAL_PASTOR} 4 ada menzilindeki her {GROUP_SHEEPS} için 30{GOLD} alır\n{GROUP_WHEATS} ve {PLANT_GRAPES} için 2x {PRODUCTION}
CHURCH,Church,Igreja,Church,教堂,교회,教会,Iglesia,Kirche,Église,Kościół,Kilise
CHURCH_DESCRIPTION,50{GOLD} per {GROUP_SHEEPS} on farm\nIf the resource cost of all {GROUP_SHEEPS} are being met get 1 new {ANIMAL_SHEEP} card,50{GOLD} por cada {GROUP_SHEEPS} na fazenda\nSe todas as {GROUP_SHEEPS} receberem todos os recursos que precisam ganhe 1 carta de {ANIMAL_SHEEP},"50{GOLD} per ogni {GROUP_SHEEPS} nella fattoria\nSe le risorse necessarie per tutti i {GROUP_SHEEPS} vengono soddisfatte, ricevi una nuova carta {ANIMAL_SHEEP}",农场上每个{GROUP_SHEEPS}提供50{GOLD}\n如果所有的{GROUP_SHEEPS}的资源成本都得到满足，获得1张新的{ANIMAL_SHEEP}卡片,농장의 {GROUP_SHEEPS} 당 50{GOLD}를 얻습니다\n모든 {GROUP_SHEEPS}의 자원 비용이 충족되면 새로운 {ANIMAL_SHEEP} 카드 1장을 얻습니다,農場の {GROUP_SHEEPS} ごとに50{GOLD} を提供します\nすべての {GROUP_SHEEPS} の資源コストが満たされている場合、新しい {ANIMAL_SHEEP} カードを1枚取得します,"50{GOLD} por cada {GROUP_SHEEPS} en la granja\n Si se están cumpliendo los costos de recursos de todos los {GROUP_SHEEPS}, obtén una nueva carta de {ANIMAL_SHEEP}","50{GOLD} pro {GROUP_SHEEPS} auf dem Bauernhof\nWenn die Ressourcenkosten aller {GROUP_SHEEPS} gedeckt sind, erhalte 1 neue {ANIMAL_SHEEP} Karte","50 {GOLD} pour chaque {GROUP_SHEEPS} à la ferme\nSi les coûts en ressources de tous les {GROUP_SHEEPS} sont satisfaits, recevez une nouvelle carte {ANIMAL_SHEEP}","50{GOLD} za każde {GROUP_SHEEPS} na farmie\nJeśli wszystkie zasoby dla wszystkich {GROUP_SHEEPS} są spełnione, dostajesz 1 nową kartę {ANIMAL_SHEEP}",Çiftlikteki her {GROUP_SHEEPS} için 50{GOLD}\nEğer tüm {GROUP_SHEEPS} için kaynak maliyeti karşılanıyorsa 1 yeni {ANIMAL_SHEEP} kartı alınır
EASTER_EGG,Easter Egg,Ovo de Páscoa,Easter Egg,复活节彩蛋,이스터 에그,イースターエッグ,Huevo de Pascua,Osterei,Œuf de Pâques,Jajko Wielkanocne,Paskalya Yumurtası
LOOM,Loom,Tear,Telaio,织布机,직조기,織機,Telar,Webstuhl,Métier à tisser,Warsztat tkacki,Tezgah
CUTTER,Cutter,Cortadeira,Taglierina,刀具,커터,カッター,Cortador,Cutter,Coupeur,obcinarka,Kesici
SHREDDED_WOOL,Shredded Wool,Lã Desfiada,Lana tagliuzzata,碎羊毛,파쇄된 양모,細断羊毛,lana triturada,Geschredderte Wolle,Laine déchiquetée,Rozdrobniona wełna,Rendelenmiş yün
WOOL_FABRIC,Wool fabric,Tecido de Lã,Tessuto di lana,毛织物,울 원단,ウール生地,Tejido de lana,Wollstoff,Tissu en laine,Tkanina wełniana,Yün kumaş
BLACK_WOOL,Black Wool,Lã Preta,Lana Nera,黑色羊毛,블랙 울,ブラックウール,Lana negra,Schwarze Wolle,Laine noire,Czarna wełna,Siyah yün
CORRUPTED_RABBIT_FOOT,Corrupted Rabbit Foot, Pé de Coelho Corrompido,Zampa di coniglio corrotta,腐化的兔脚,손상된 토끼 발,壊れたウサギの足,Pata de conejo corrupta,Verdorbener Kaninchenfuß,Patte de lapin corrompue,Stopa Zepsutego Królika,Bozuk Tavşan Ayağı
WIN_TITLE,You Win!,Você Ganhou!,Hai Vinto!,你赢了!,이겼어요!,あなたの勝ちです!,¡Has Ganado!,Du hast gewonnen!,Tu as gagné!,Wygrałeś!,Kazandın!
WIN_TEXT,You finished the Early Access content of Terracards. Keep in mind this is just the start of this project!\n\nYou can still keep playing but you won't get to see newer things.,Você finalizou o conteúdo do Acesso Antecipado de Terracards! Tenha em mente que isso é só o início do que está por vir!\n\nVocê ainda pode continuar jogando mas não verá coisas novas.,Hai terminato il contenuto dell'Accesso Anticipato di Terracards. Ricorda che questo è solo l'inizio di questo progetto!\n\nPuoi continuare a giocare ma non vedrai nuove aggiunte.,您已经完成了Terracards早期访问内容。请记住，这只是该项目的起点！\n\n您仍然可以继续玩，但不会看到新内容。,Terracards의 얼리 액세스 콘텐츠를 모두 마쳤습니다. 이것이 프로젝트의 시작에 불과하다는 점을 기억하세요!\n\n계속해서 플레이할 수는 있지만 새로운 것들은 볼 수 없을 겁니다.,Terracardsのアーリーアクセスコンテンツを終えました。これはプロジェクトの始まりに過ぎないことを心に留めてください。\n\n引き続きプレイはできますが、新しいものは見れません。,Has terminado el contenido de Acceso Anticipado de Terracards. Ten en cuenta que esto es solo el comienzo de este proyecto.\n\nAún puedes seguir jugando pero no verás cosas nuevas.,"Du hast den Early Access-Inhalt von Terracards abgeschlossen. Behalte im Kopf, dass dies nur der Anfang dieses Projekts ist!\n\nDu kannst weiter spielen, aber es wird keine neuen Dinge zu sehen geben.",Vous avez terminé le contenu de l'Accès Anticipé de Terracards. Gardez à l'esprit que ce n'est que le début de ce projet !\n\nVous pouvez toujours continuer à jouer mais vous ne verrez pas de nouvelles choses.,"Ukończyłeś zawartość Wczesnego Dostępu do Terracards. Pamiętaj, że to dopiero początek tego projektu!\n\nMożesz nadal grać, ale nie zobaczysz nowości.",Erken Erişim içeriğini Terracards'ta bitirdiniz. Bu projenin sadece başlangıcı olduğunu aklınızda bulundurun!\n\nOynamaya devam edebilirsiniz ancak yeni şeyler göremeyeceksiniz.
CONTINUE,Continue,Continuar,Continua,继续,계속,続ける,Continuar,Fortsetzen,Continuer,Kontynuuj,Devam et
TORTILLA,Tortilla,Tortilha,Tortilla,玉米饼,토르티야,トルティーヤ,Tortilla,Tortilla,Tortilla,Tortilla,Tortilla
APPLE_PIE,Apple Pie,Torta de Maçã,Torta di Mele,苹果派,사과 파이,アップルパイ,Tarta de Manzana,Apfelkuchen,Tarte aux Pommes,Szarlotka,Elmalı Turta
PIE_CRUST,Pie Crust,Massa de Torta,Crosta di torta,馅饼皮,파이 크러스트,パイクラスト,Corteza de pastel,Kuchenkruste,Pâte à tarte,Ciasto na placek,Kabuk hamuru
COOKIE_DOUGH,Cookie Dough,Massa de Biscoito,Impasto per biscotti,饼干面团,쿠키 반죽,クッキー生地,Masa de galletas,Keksteig,Pâte à biscuit,Ciasto na ciasteczka,Çerez hamuru
CHOCOLATE_COOKIE_DOUGH,Chocolate Cookie Dough,Massa de Biscoito com Chocolate,Impasto per biscotti al cioccolato,巧克力饼干面团,초콜릿 쿠키 반죽,チョコレートクッキー生地,Masa de galletas de chocolate,Schokoladenkeks-Teig,Pâte à biscuit au chocolat,Ciasto na ciasteczka czekoladowe,Çikolatalı kurabiye hamuru
MAYONNAISE,Mayonnaise,Maionese,Mayonnaise,蛋黄酱,마요네즈,マヨネーズ,Mayonesa,Mayonnaise,Mayonnaise,Ciasto majonezowe,Mayonez
WATER_TANK,Water Tank,Caixa D'agua,Serbatoio d'acqua,水箱,물 탱크,ウォータータンク,Depósito de agua,Wassertank,Réservoir d'eau,Zbiornik na wodę,Su deposu
WATER_TANK_DESCRIPTION,+20 {PRODUCTION} to {PLANTS} on same island,+20 de {PRODUCTION} para {PLANTS} na mesma ilha,+20 {PRODUCTION} per le {PLANTS} sulla stessa isola,+20 {PRODUCTION} 给同一岛上的{PLANTS},같은 섬의 {PLANTS}에게 +20 {PRODUCTION},同じ島の{PLANTS}に+20 {PRODUCTION},+20 {PRODUCTION} para {PLANTS} en la misma isla,+20 {PRODUCTION} für {PLANTS} auf derselben Insel,+20 {PRODUCTION} pour les {PLANTS} sur la même île,Ta sama wyspa +20 {PRODUCTION} dla {PLANTS},Aynı adadaki {PLANTS} için +20 {PRODUCTION}
CORNY_CHICKENS,Chicken in the Corn,Galinha no Milho,Pollo nel Mais,玉米中的鸡,옥수수 속의 치킨,トウモロコシの中のチキン,Pollo en el Maíz,Hähnchen im Mais,Poulet dans le Maïs,Kurczak w Kukurydzy,Mısırda Tavuk
CORNY_CHICKENS_DESCRIPTION,"+30 most used resource cost to {GROUP_CHICKENS}, but +30 {PRODUCTION} per island with just {GROUP_CORNS} in a 2 island range","+30 de custo do recurso mais usado para {GROUP_CHICKENS}, mas +30 de {PRODUCTION} por ilhas com apenas {GROUP_CORNS} em uma distância de 2 ilhas","+30 costo della risorsa più utilizzata per {GROUP_CHICKENS}, ma +30 {PRODUCTION} per isola con solo {GROUP_CORNS} nel raggio di 2 isole",最常用资源成本对{GROUP_CHICKENS}增加30，但对只有{GROUP_CORNS}的岛屿在2岛范围内每个岛增加30 {PRODUCTION},"인접한 섬이 2개 범위 내에서 {GROUP_CHICKENS}에게 가장 많이 사용되는 자원 비용 +30, 하지만 {GROUP_CORNS}만 있는 섬에서는 {PRODUCTION} 당 +30",隣接する島が2島の範囲内で{GROUP_CHICKENS}に最も使用されるリソースのコスト+30、しかし{GROUP_CORNS}のみの島ごとに{PRODUCTION}ごとに+30,"+30 costo de recurso más usado para {GROUP_CHICKENS}, pero +30 {PRODUCTION} por isla con solo {GROUP_CORNS} en un rango de 2 islas","+30 der meistgenutzten Ressourcenkosten für {GROUP_CHICKENS}, aber +30 {PRODUCTION} pro Insel mit nur {GROUP_CORNS} in einem Bereich von 2 Inseln","+30 de coût de ressource le plus utilisé pour {GROUP_CHICKENS}, mais +30 {PRODUCTION} par île avec seulement {GROUP_CORNS} dans un rayon de 2 îles","+30 kosztu najczęściej używanego zasobu dla {GROUP_CHICKENS}, ale +30 {PRODUCTION} na wyspie z tylko {GROUP_CORNS} w zasięgu 2 wysp","Yakındaki 2 adada sadece {GROUP_CORNS} bulunan ada başına +30 {PRODUCTION}, ancak {GROUP_CHICKENS} için en çok kullanılan kaynağın maliyeti +30"
AUTOSAVE_QUESTION,[center]A save file has been found! Do you want to continue?,[center]Um jogo salvo foi encontrado! Quer continua-lo?,[center]È stato trovato un file di salvataggio! Vuoi continuare?,[center]发现保存文件！您想继续吗？,[center]저장 파일이 발견되었습니다! 계속하시겠습니까?,[center]保存ファイルが見つかりました！続けますか？,[center]¡Se ha encontrado un archivo de guardado! ¿Quieres continuar?,[center]Eine Speicherdatei wurde gefunden! Möchten Sie fortfahren?,[center]Un fichier de sauvegarde a été trouvé ! Voulez-vous continuer ?,[center]Znaleziono plik zapisu! Czy chcesz kontynuować?,[center]Kayıt dosyası bulundu! Devam etmek istiyor musunuz?
NEW_GAME,New Game,Novo Jogo,Nuova Partita,新游戏,새 게임,新しいゲーム,Nova igra,Neues Spiel,Nouvelle partie,Nowa gra,Yeni Oyun
STORAGE_POINT,Transport Tube,Cano de Transporte,Tubo di Trasporto,运输管,운송 튜브,輸送チューブ,Tubo de Transporte,Transportrohr,Tube de Transport,Rura Transportowa,Taşıma Tüpü
STORAGE_POINT_DESCRIPTION,Takes all items produced in 1 island range and outputs them to {STRUCTURES} with range\nCan't get items from another {STRUCTURE_STORAGE_POINT},Recolhe todos os itens produzidos em um alcance de 1 ilha e os distribui para {STRUCTURES} com alcance\nNão pode pegar itens de outro {STRUCTURE_STORAGE_POINT},Raccoglie tutti gli articoli prodotti nel raggio di 1 isola e li distribuisce ai {STRUCTURES} con raggio\nNon può prendere articoli da un altro {STRUCTURE_STORAGE_POINT},收集1个岛屿范围内生产的所有物品并输出到具有范围的{STRUCTURES}\n不能从另一个{STRUCTURE_STORAGE_POINT}获取物品,1개 섬 범위 내에서 생산된 모든 아이템을 수집하여 범위가 있는 {STRUCTURES}에 출력합니다\n다른 {STRUCTURE_STORAGE_POINT}에서 아이템을 가져올 수 없습니다,1つの島の範囲内で生産されたすべてのアイテムを収集し、範囲を持つ{STRUCTURES}に出力します\n別の{STRUCTURE_STORAGE_POINT}からアイテムを取得することはできません,Recoge todos los artículos producidos en el rango de 1 isla y los distribuye a {STRUCTURES} con rango\nNo puede obtener artículos de otro {STRUCTURE_STORAGE_POINT},Sammelt alle in einem Inselbereich produzierten Artikel und gibt sie an {STRUCTURES} mit Reichweite aus\nKann keine Artikel von einem anderen {STRUCTURE_STORAGE_POINT} erhalten,Collecte tous les articles produits dans la portée d'une île et les distribue aux {STRUCTURES} avec portée\nNe peut pas obtenir des articles d'un autre {STRUCTURE_STORAGE_POINT},Zbiera wszystkie przedmioty wyprodukowane w zasięgu 1 wyspy i je wydaje do {STRUCTURES} z zasięgiem\nNie może pobierać przedmiotów z innego {STRUCTURE_STORAGE_POINT},Bir adanın menzilinde üretilen tüm öğeleri toplar ve menzilli {STRUCTURES}’a çıkarır\nBaşka bir {STRUCTURE_STORAGE_POINT} 'den öğe alamaz
COMPOST_HEAP,Poop Collector,Coletor de Cocô,Collettore di Feci,粪便收集器,똥 수집기,糞のコレクター,Recolector de Heces,Mist Sammler,Collecteur de Caca,Zbieracz Kup,Dışkı Toplayıcı
